rep,year,observational,main.H,secondary.H,number.H.test,target.taxa,other.taxa,total number of species in study,n,device,scale,country,lat,long
1,2016,1,behavior,thermoregulation,2,small mammal,0,1,10,vhf,local,Qatar,25.82811,51.201671
2,2009,1,behavior,thermoregulation,2,bird,0,1,142,vhf,regional,Spain,39.528655,-2.001551
3,2012,1,habitat use,species interactions,2,large mammal,1,3,5,gps,local,Mexico,25.833709,-103.848732
4,2007,1,methodological,,,bird,0,1,9,vhf,local,Mauritania,21.008036,-10.944415
5,2007,1,demographics,,1,large mammal,0,1,77,vhf,local,USA,36.579971,-104.472293
6,2014,1,behavior,,1,invertebrate,0,1,20,vhf,local,USA,33.30618,-111.841208
7,2010,1,habitat use,,1,large mammal,0,1,13,vhf,local,USA,33.1264,-114.726345
8,2009,1,habitat use,,1,large mammal,0,1,25,vhf,local,USA,35.112116,-115.263292
9,2013,1,behavior,thermoregulation,2,small mammal,0,1,8,vhf,local,Australia,-28.362073,139.945807
10,2014,1,physiology,behavior,2,small mammal,0,2,3,vhf,local,Australia,-28.362073,139.945807
11,2015,1,habitat use,,,bird,0,1,9,gps,regional,USA,35.96171,-116.85124
12,1999,1,physiology,behavior,2,large mammal,0,1,3,vhf,local,Namibia,-23.521535,16.494061
13,2003,1,physiology,behavior,2,bird,0,1,41,vhf,local,South Africa,-29.590787,30.269752
14,2014,1,habitat use,,1,reptile,0,1,12,vhf,local,Australia,-26.843468,150.781957
15,2003,1,habitat use,,1,small mammal,0,2,4,vhf,local,Australia,-24.97146,125.593885
16,2011,1,behavior,,1,bird,0,1,19,gps,global,Portugal,31.60638,-0.146848
17,1995,1,habitat use,behavior,2,large mammal,0,1,7,vhf,local,USA,32.612831,-106.731264
18,2010,1,physiology,,1,small mammal,0,1,31,vhf,local,South Africa,-27.829334,28.501826
19,2008,1,behavior,,1,small mammal,0,1,8,vhf,regional,USA,36.106902,-112.112597
20,2000,1,demographics,behavior,2,small mammal,0,1,341,vhf,local,USA,35.34796,-119.520039
21,2010,1,physiology,behavior,2,small mammal,0,1,23,vhf,local,Israel,30.852297,34.7834
22,2015,1,distribution,behavior,2,small mammal,0,1,45,vhf,local,USA,40.211933,-112.839502
23,2010,1,habitat use,home range,2,bird,0,1,29,vhf,local,Australia,-23.697222,133.883292
24,1999,1,physiology,behavior,2,small mammal,0,2,54,vhf,local,Israel,31.725779,35.191123
25,2012,1,behavior,,1,reptile,0,1,15,vhf,local,USA,33.830296,-116.545291
26,2010,1,behavior,human impact,2,large mammal,1,2,37,gps,local,USA,32.286373,-113.24504
27,1994,1,behavior,,1,large mammal,0,1,9,vhf,local,USA,33.284077,-112.429723
28,2000,1,behavior,,1,bird,1,4,20,vhf,local,USA,31.659813,-110.525356
